Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
TV Show,Everybody’s Live with John Mulaney,John Mulaney conducts the first-ever celebrity sit-down talk show. Live every week.,Comedy,2025,1 Season,"John Mulaney, Richard Kind",Netflix,https://www.netflix.com/ca/title/81912996
TV Show,Family Reunion,"When the McKellan family moves from Seattle to small-town Georgia, life down South — and traditional grandparents — challenge their big-city ways.",Kids,2019,5 Seasons,"Loretta Devine, Tia Mowry, Anthony Alabi",Netflix,https://www.netflix.com/ca/title/80234451
Movie,Fast X,Dom Toretto faces his most dangerous challenge yet as he races to save his family from a nemesis with a vicious grudge and a serious case of road rage.,Action,2023,-,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson",Netflix,https://www.netflix.com/ca/title/81649988
Movie,Faster,A bank robber just released from prison goes on a rampage to avenge his dead brother and is pursued by two relentless cops and an eccentric hit man.,Action,2010,-,"Dwayne Johnson, Billy Bob Thornton, Oliver Jackson-Cohen",Netflix,https://www.netflix.com/ca/title/70140907
Movie,Fatherhood,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",Drama,2021,-,"Kevin Hart, Alfre Woodard, Lil Rel Howery",Netflix,https://www.netflix.com/ca/title/81435227
TV Show,Formula 1: Drive to Survive,"Drivers, managers and team owners live life in the fast lane — both on and off the track — during each cutthroat season of Formula 1 racing.",Documentary,2019,7 Seasons,,Netflix,https://www.netflix.com/ca/title/80204890
TV Show,Fuller House,The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.,Comedy,2016,5 Seasons,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber",Netflix,https://www.netflix.com/ca/title/80051137
TV Show,Gabby's Dollhouse,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.",Kids,2021,11 Seasons,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld",Netflix,https://www.netflix.com/ca/title/81009946
TV Show,Gilmore Girls,"Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee.",Drama,2000,7 Seasons,"Lauren Graham, Alexis Bledel, Scott Patterson",Netflix,https://www.netflix.com/ca/title/70155618
Movie,"Girl, Interrupted",An 18-year-old checks into a psychiatric hospital in the late 1960s and finds unexpected connections with the other women receiving treatment.,Drama,1999,-,"Winona Ryder, Angelina Jolie, Clea DuVall",Netflix,https://www.netflix.com/ca/title/60000428
