Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
TV Show,Sweet Magnolias,"Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small Southern town of Serenity.",Drama,2020,4 Seasons,"JoAnna Garcia Swisher, Brooke Elliott, Heather Headley",Netflix,https://www.netflix.com/ca/title/80239866
TV Show,Temptation Island,"In this spicy update to the hit reality series, four couples test their relationships by shacking up with eligible singles on a tropical island.",Reality TV,2025,1 Season,Mark L. Walberg,Netflix,https://www.netflix.com/ca/title/81744518
Movie,The Bad Guys,"After a heist gone wrong, a wily wolf and his infamous crew of animal accomplices agree to become model citizens — or at least try to.",Kids,2022,-,"Sam Rockwell, Marc Maron, Awkwafina",Netflix,https://www.netflix.com/ca/title/81513703
Movie,The Boss Baby,A kid finds himself at the center of a sinister corporate plot when his parents bring home a baby who only talks business when they're not around.,Kids,2017,-,"Alec Baldwin, Lisa Kudrow, Jimmy Kimmel",Netflix,https://www.netflix.com/ca/title/80146758
Movie,The Electric State,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",Sci-Fi,2025,-,"Millie Bobby Brown, Chris Pratt, Ke Huy Quan",Netflix,https://www.netflix.com/ca/title/81601562
Movie,The Equalizer 2,Ex-DIA agent-turned-vigilante Robert McCall uses his deadly skills once again to avenge the death of a close friend and former colleague.,Action,2018,-,"Denzel Washington, Pedro Pascal, Ashton Sanders",Netflix,https://www.netflix.com/ca/title/80236390
TV Show,The First Frost,"After Wen Yifan has a chance encounter with her childhood crush, complicated feelings surface when the two wind up living together.",Romance,2025,1 Season,"Bai Jinting, Zhang Ruonan, Edward Chen",Netflix,https://www.netflix.com/ca/title/81956912
Movie,The Flash,"When the Flash uses his unique powers to alter a tragedy in his past, he causes a time paradox that could devastate the present — and the future.",Action,2022,-,"Ezra Miller, Sasha Calle, Michael Shannon",Netflix,https://www.netflix.com/ca/title/81251375
Movie,The Hunger Games,"In a dystopian future, teens Katniss and Peeta are drafted for a televised event pitting young competitors against one another in a fight to the death.",Action,2012,-,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Netflix,https://www.netflix.com/ca/title/70206672
TV Show,The Loud House,"Things are chaotic in the Loud house, where middle-kid Lincoln navigates life with 10 sisters — five older, five younger, and all of them a handful.",Kids,2016,2 Seasons,"Grant Palmer, Collin Dean, Catherine Taber",Netflix,https://www.netflix.com/ca/title/81186971
Movie,The Meg,"When an attack leaves a research crew trapped at the bottom of the sea, a rescue diver must face a massive predator long presumed extinct to save them.",Action,2018,-,"Jason Statham, Li Bingbing, Rainn Wilson",Netflix,https://www.netflix.com/ca/title/80237937
TV Show,The Night Agent,"Brought together by a midnight phone call, an FBI agent and a cybersecurity expert must unravel an ever-growing web of political conspiracies.",Thriller,2023,2 Seasons,"Gabriel Basso, Luciane Buchanan, Hong Chau",Netflix,https://www.netflix.com/ca/title/81450827
Movie,The Predator,"When a Predator ship crash-lands on Earth, an alien tracker, a secret government agency, a biologist and a group of military castoffs race to find it.",Action,2018,-,"Boyd Holbrook, Trevante Rhodes, Olivia Munn",Netflix,https://www.netflix.com/ca/title/80236391
TV Show,The Resident,A medical student learns tough lessons about hospital life and endures intense on-the-job training under the supervision of a brilliant senior resident.,Drama,2018,6 Seasons,"Matt Czuchry, Manish Dayal, Bruce Greenwood",Netflix,https://www.netflix.com/ca/title/80179399
Movie,The Secret Life of Pets,"When two squabbling pet dogs end up in the outside world, they find common ground staving off a gang of abandoned pets out for revenge on humans.",Kids,2016,-,"Louis C.K., Eric Stonestreet, Kevin Hart",Netflix,https://www.netflix.com/ca/title/80095314
Movie,The Six Triple Eight,"During WWII, the only US Women's Army Corps unit of color stationed overseas takes on an impossible mission in Tyler Perry's drama based on a true story.",Drama,2024,-,"Kerry Washington, Ebony Obsidian, Milauna Jackson",Netflix,https://www.netflix.com/ca/title/81590591
Movie,The Super Mario Bros. Movie,"Magically teleported from Brooklyn to the Mushroom Kingdom, two plucky plumbers team up with a princess to battle a tyrannical fire-breathing turtle.",Kids,2023,-,"Chris Pratt, Anya Taylor-Joy, Charlie Day",Netflix,https://www.netflix.com/ca/title/81640914
Movie,The Union,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,Action,2024,-,"Mark Wahlberg, Halle Berry, J.K. Simmons",Netflix,https://www.netflix.com/ca/title/81282732
TV Show,The Walking Dead,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival.",Horror,2010,11 Seasons,"Andrew Lincoln, Steven Yeun, Norman Reedus",Netflix,https://www.netflix.com/ca/title/70177057
Movie,The Wolf of Wall Street,"A stockbroker soars to decadent, drug-fueled highs while trying to elude the FBI as he and his colleagues make untold millions with brazenly shady deals.",Comedy,2013,-,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",Netflix,https://www.netflix.com/ca/title/70266676
Movie,Ticket to Paradise,"Determined to sabotage their daughter's upcoming wedding in Bali, a long-divorced couple agrees to a truce — and begins to see eye-to-eye again.",Comedy,2022,-,"George Clooney, Julia Roberts, Kaitlyn Dever",Netflix,https://www.netflix.com/ca/title/81598180
Movie,Transformers: Age of Extinction,"Five years after Chicago was destroyed, humans have turned against all robots. But a single dad and inventor resurrects one that may save the world.",Action,2014,-,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer",Netflix,https://www.netflix.com/ca/title/70299855
Movie,Transformers: The Last Knight,"After Optimus Prime takes a dark turn, Cade Yeager joins forces with a group of Autobots to stop a villainous plot to destroy Earth.",Action,2017,-,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel",Netflix,https://www.netflix.com/ca/title/80164399
TV Show,Until You Burn,"After his brother's death, an ex-convict launches an intricate web of lies and revenge against the privileged family he believes is behind the murder.",Drama,2025,1 Season,"Cristian Gamero, Essined Aponte, María Elisa Camargo",Netflix,https://www.netflix.com/ca/title/81710015
TV Show,Victorious,"When aspiring singer Tori Vega joins an eccentric group of talented teens at Hollywood Arts High School, she works to fit in — and stand out.",Kids,2010,2 Seasons,"Victoria Justice, Leon Thomas III, Matt Bennett",Netflix,https://www.netflix.com/ca/title/70172485
TV Show,Virgin River,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what — and who — she finds.",Drama,2019,6 Seasons,"Alexandra Breckenridge, Martin Henderson, Tim Matheson",Netflix,https://www.netflix.com/ca/title/80240027
Movie,We Can Be Heroes,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents — and the planet.",Kids,2020,-,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra Jonas",Netflix,https://www.netflix.com/ca/title/80994666
TV Show,Welcome to the Family,"A struggling single mom rallies her quirky family to outsmart a mafia boss after her estranged, wealthy father dies, leaving them with massive debt.",Comedy,2025,1 Season,"Marimar Vega, Erika Buenfil, Ana Layevska",Netflix,https://www.netflix.com/ca/title/81633043
TV Show,When Life Gives You Tangerines,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",Romance,2025,1 Season,"IU, Park Bo-gum, Moon So-ri",Netflix,https://www.netflix.com/ca/title/81681535
Movie,Wonder,"After being homeschooled all his life, a boy with facial differences attends a traditional school, where he must find friends among his bullies.",Drama,2017,-,"Julia Roberts, Owen Wilson, Jacob Tremblay",Netflix,https://www.netflix.com/ca/title/80147986
Movie,Wrath of Man,An enigmatic employee of an armored truck company catches his co-workers off guard when he unleashes his violent skills during an attempted heist.,Action,2021,-,"Jason Statham, Holt McCallany, Jeffrey Donovan",Netflix,https://www.netflix.com/ca/title/81462126
TV Show,WWE SmackDown,WWE's top Superstars settle scores and spark rivalries in weekly in-ring competition featuring action-packed matches from the blue brand.,Action,2025,1 Season,,Netflix,https://www.netflix.com/ca/title/81788930
TV Show,"XO, Kitty","Following her heart to an elite high school in Seoul, teen matchmaker Kitty learns that life, love and family are more complicated than she ever imagined.",Comedy,2023,2 Seasons,"Anna Cathcart, Min-yeong Choi, Gia Kim",Netflix,https://www.netflix.com/ca/title/81324724
TV Show,Yellowstone,"The owner of Montana's largest ranch, John Dutton, defends a vanishing way of life as business interests and politicians scheme to force him out.",Drama,2018,4 Seasons,"Kevin Costner, Luke Grimes, Kelly Reilly",Netflix,https://www.netflix.com/ca/title/80238738
TV Show,Young Sheldon,"Brilliant yet awkward 9-year-old Sheldon Cooper lands in high school where his smarts leave everyone stumped in this The Big Bang Theory"" spinoff.""",Comedy,2017,7 Seasons,"Iain Armitage, Zoe Perry, Lance Barber",Netflix,https://www.netflix.com/ca/title/80192612
TV Show,Zero Day,"A former U.S. President is called out of retirement to find the source of a deadly cyberattack, only to discover a vast web of lies and conspiracies.",Thriller,2025,1 Season,"Robert De Niro, Jesse Plemons, Lizzy Caplan",Netflix,https://www.netflix.com/ca/title/81598435
