Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
Movie,Saltburn,"Academy Award winning filmmaker Emerald Fennell brings us a beautifully wicked tale of privilege and desire. Struggling to find his place at Oxford University, student Oliver Quick (Barry Keoghan) finds himself drawn into the world of the charming and aristocratic Felix Catton (Jacob Elordi), who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten.",Drama,2023,-,"Emerald Fennell, p.g.a., Josey McNamara, p.g.a., Margot Robbie, p.g.a.",Amazon Prime Video,https://www.primevideo.com/detail/0RUKC4SBCMVYTLG6SFGLEXLQTV/ref=atv_br_def_r_br_c_OBb6da7fs_1_24
Movie,The Night Eats The World,"After waking up in an apartment the night after a raging party, Sam comes face to face with his new reality, an army of zombies have invaded the streets of Paris and he is the lone survivor. Petrified with fear, he barricades himself inside the building to survive. He wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all.",Drama,2018,-,Carole Scotta,Amazon Prime Video,https://www.primevideo.com/detail/0ND8CR6VF8P55OEDK0FBZ5QYAK/ref=atv_br_def_r_br_c_OBb6da7fs_1_25
Movie,The Bikeriders,"Jodie Comer, Austin Butler & Tom Hardy star in an epic about a motorcycle club that begins to evolve from a gathering of rebellious outsiders into a dangerous crime syndicate.",Drama,2024,-,"Austin Butler, Jodie Comer, Tom Hardy, Michael Shannon, Norman Reedus, Mike Faist",Amazon Prime Video,https://www.primevideo.com/detail/0JHIDTQXU9YR2YB9R73LY4WQ5M/ref=atv_br_def_r_br_c_OBb6da7fs_1_26
Movie,The Eagle,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",Action,2011,-,"Caroline Hewitt, Duncan Kenworthy, Miles Ketley, Charles Moore, Tessa Ross",Amazon Prime Video,https://www.primevideo.com/detail/0M2C5TLBXNHCKZNNC6QWIQCN9D/ref=atv_br_def_r_br_c_OBb6da7fs_1_27
Movie,Abigail,Radio Silence brings a new vision of vampires with Abigail as a heist team discovers that they're locked inside an isolated mansion with a girl who is anything but ordinary.,Horror,2024,-,"Macdara Kelleher, Ron Lynch, Paul Neinstein, William Sherak, James Vanderbilt",Amazon Prime Video,https://www.primevideo.com/detail/0TG78XYS7UCH83CLV1SCS3RMT1/ref=atv_br_def_r_br_c_OBb6da7fs_1_28
Movie,Silver Linings Playbook,"Pat has lost everything, his house, job and his wife. He finds himself living back with his parents after spending 8 months in a state institution. When Pat meets Tiffany, a mysterious girl with problems of her own, things get complicated...",Comedy,2012,-,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Chris Tucker",Amazon Prime Video,https://www.primevideo.com/detail/0Q36J1BJYXNYQGMYDVLNKRYJ7S/ref=atv_br_def_r_br_c_OBb6da7fs_1_29
Movie,The Lord of the Rings: The Return of the King,"In the conclusion of J.R.R. Tolkien's epic masterpiece, The Lord of the Rings, as armies mass for a final battle that will decide the fate of the world.",Adventure,2003,-,"Elijah Wood, Viggo Mortensen, Ian McKellen",Amazon Prime Video,https://www.primevideo.com/detail/0NSGBFYAQDZQKEC8BBWKT8GILJ/ref=atv_br_def_r_br_c_OBb6da7fs_1_30
Movie,The Other Zoey,"Zoey Miller (Josephine Langford), a super smart computer major uninterested in romantic love, has her life thrown upside down when Zach (Drew Starkey), a popular college soccer player, gets amnesia and mistakes Zoey as his girlfriend.",Comedy,2023,-,"Mike Karz, William Bindley, Matthew Tabak, Matt Luber, Lena Roklin",Amazon Prime Video,https://www.primevideo.com/detail/0L3X8JRPRBAVJGRWKI0JL3OBOQ/ref=atv_br_def_r_br_c_OBb6da7fs_1_31
Movie,In The Land of Saints and Sinners,"In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried",Action,2024,-,"Markus Barmettler, Geraldine Hughes, Philip Lee, Terry Loane, Bonnie Timmermann",Amazon Prime Video,https://www.primevideo.com/detail/0NOJ3IHX4ZWHS8GGF8DW09U98M/ref=atv_br_def_r_br_c_OBb6da7fs_1_32
Movie,"Little Bit Of Heaven, A",An irreverent young woman who uses her humor to prevent matters from getting serious has a life-changing visit with her doctor.,Comedy,2012,-,"Kate Hudson, Gael Garc√≠a Bernal, Kathy Bates, Peter Dinklage",Amazon Prime Video,https://www.primevideo.com/detail/0PGG18LNCZQ4PWHRZP1XVYWSRE/ref=atv_br_def_r_br_c_OBb6da7fs_1_33
Movie,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin and faces a dilemma that could change their lives forever.,Drama,2020,-,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse",Amazon Prime Video,https://www.primevideo.com/detail/0P9HEINXBW5L3YCPH94PGQ85LN/ref=atv_br_def_r_br_c_OBb6da7fs_1_34
Movie,The Passion of the Christ,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Drama,2004,-,"Mel Gibson, Bruce Davey, Stephen McEveety",Amazon Prime Video,https://www.primevideo.com/detail/0R5O7YBSJUACTCT7MLRGMAQEPI/ref=atv_br_def_r_br_c_OBb6da7fs_1_35
Movie,Redemption,"A damaged ex-special forces soldier trapped in the criminal underworld is transformed into an avenging angel when an unexpected opportunity allows him to assume another identity. Once believing he was beyond redemption, he now seeks out his own version of justice.",Action,2013,-,Jason Statham,Amazon Prime Video,https://www.primevideo.com/detail/0OAYRW8QZ7PWMFFROM8NWK6NUZ/ref=atv_br_def_r_br_c_OBb6da7fs_1_36
Movie,Lord of the Rings: The Two Towers,"In the part second of the Tolkien trilogy, Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths.",Fantasy,2002,-,"Barrie M. Osborne, Fran Walsh, Peter Jackson",Amazon Prime Video,https://www.primevideo.com/detail/0OSAJRJAW5BHY843QHALJZFUTX/ref=atv_br_def_r_br_c_OBb6da7fs_1_37
Movie,The Beach House,"When Cara finds her life spinning out of control, she returns to the scenic Lowcountry to visit her mother. Before long, the rhythms of the island open her heart in wonderful ways as she repairs the family beach house.",Drama,2018,-,"Andie MacDowell,†Chad Michael Murray,†Minka Kelly",Amazon Prime Video,https://www.primevideo.com/detail/0NTZUYOE9602DUWVSZ9K7QPV5I/ref=atv_br_def_r_br_c_OBb6da7fs_1_38
TV Show,THE GREAT,"THE GREAT is a satirical, comedic drama - based on the occasional historical fact - about the rise of Catherine the Great from outsider to the longest reigning female ruler in Russia's history. A very modern story about the past.",Historical,2020,Season 1,"Elle Fanning, Nicholas Hoult, Phoebe Fox, Adam Godley, Gwilym Lee, Charity Wakefield, Douglas Hodge, Sacha Dhawan, Sebastian de Souza, Bayo Gbadamosi, Belinda Bromilow",Amazon Prime Video,https://www.primevideo.com/detail/0L49YBTPFJI9OTD8OYHE6VB8NX/ref=atv_br_def_r_br_c_unkc_1_9
TV Show,Bones,A dramatic series about a female forensic anthropologist who steps in to solve crimes when other crime solving methods have failed. Based on the real-life work of Kathy Reichs.,Drama,2005,Season 12,"Emily Deschanel, David Boreanaz, Michaela Conlin",Amazon Prime Video,https://www.primevideo.com/detail/0I9UNGX3CUE6JFDDTAUWAPTL54/ref=atv_br_def_r_br_c_unkc_1_10
